DISTRITO,CODIGO
LIMA (CERCADO),LIMA 01
ANCON,LIMA 02
ATE,LIMA 03
BARRANCO,LIMA 04
BREÃ‘A,LIMA 05
CARABAYLLO,LIMA 06
COMAS,LIMA 07
CHACLACAYO,LIMA 08
CHORRILLOS,LIMA 09
EL AGUSTINO,LIMA 10
JESUS MARIA,LIMA 11
LA MOLINA,LIMA 12
LA VICTORIA,LIMA 13
LINCE,LIMA 14
LURIGANCHO,LIMA 15
LURIN,LIMA 16
MAGDALENA DEL MAR,LIMA 17
MIRAFLORES,LIMA 18
PACHACAMAC,LIMA 19
PUCUSANA,LIMA 20
PUEBLO LIBRE (MAGDALENA VIEJA),LIMA 21
PUENTE  PIEDRA,LIMA 22
PUNTA NEGRA,LIMA 23
PUNTA HERMOSA,LIMA 24
RIMAC,LIMA 25
SAN BARTOLO,LIMA 26
SAN ISIDRO,LIMA 27
INDEPENDENCIA,LIMA 28
SAN JUAN DE MIRAFLORES,LIMA 29
SAN LUIS,LIMA 30
SAN MARTIN DE PORRES,LIMA 31
SAN MIGUEL,LIMA 32
SANTIAGO DE SURCO,LIMA 33
SURQUILLO,LIMA 34
VILLA MARIA DEL TRIUNFO,LIMA 35
SAN JUAN DE  LURIGANCHO,LIMA 36
SANTA MARIA,LIMA 37
SANTA ROSA,LIMA 38
LOS OLIVOS,LIMA 39
CIENEGUILLA,LIMA 40
SAN BORJA,LIMA 41
VILLA EL SALVADOR,LIMA 42
SANTA ANITA,LIMA 43
